"tensor([ 0.1726,  1.0000, -0.0188,  0.3873,  0.8498,  0.2315,  0.7453,  0.1257,
         0.8351,  0.7172,  0.8183,  0.8887], device='cuda:0')","tensor([[0.2463, 1.0000, 0.0251, 0.2255, 0.5125, 0.5850, 0.4028, 0.2152, 0.2948,
         0.8857, 0.9158, 0.9435]], device='cuda:0',
       grad_fn=<UnsqueezeBackward0>)"
"tensor([ 0.2803,  1.0000, -0.2922,  0.2561,  0.4319,  0.7042,  0.3760,  0.2145,
         0.4345,  0.4260,  0.6800,  0.9072], device='cuda:0')","tensor([[0.4653, 0.0014, 0.0209, 0.2599, 0.7433, 0.3722, 0.3375, 0.3837, 0.2376,
         0.7446, 0.8150, 0.9094]], device='cuda:0',
       grad_fn=<UnsqueezeBackward0>)"
"tensor([ 0.2812,  1.0000, -0.1392,  0.2063,  0.5620,  0.5859,  0.3441,  0.3550,
         0.4989,  0.6003,  0.7952,  0.8802], device='cuda:0')","tensor([[0.2972, 1.0000, 0.3154, 0.4085, 0.6514, 0.3367, 0.3384, 0.0926, 0.6189,
         0.5430, 0.7548, 0.8629]], device='cuda:0',
       grad_fn=<UnsqueezeBackward0>)"
"tensor([ 0.4438,  1.0000, -0.3156,  0.2973,  0.6111,  0.4663,  0.3776,  0.2966,
         0.5512,  0.6720,  0.8295,  0.8801], device='cuda:0')","tensor([[0.3744, 0.0015, 0.0952, 0.4601, 0.6626, 0.3573, 0.5536, 0.0696, 0.4593,
         0.8155, 0.8956, 0.9149]], device='cuda:0',
       grad_fn=<UnsqueezeBackward0>)"
"tensor([0.2454, 1.0000, 0.4334, 0.2386, 0.5146, 0.6732, 0.3892, 0.2336, 0.4168,
        0.5336, 0.7181, 0.8411], device='cuda:0')","tensor([[0.4120, 1.0000, 0.0528, 0.4237, 0.6618, 0.4120, 0.6255, 0.1171, 0.5672,
         0.6985, 0.8144, 0.9089]], device='cuda:0',
       grad_fn=<UnsqueezeBackward0>)"
"tensor([0.2221, 1.0000, 0.2399, 0.2214, 0.6244, 0.6615, 0.5254, 0.2280, 0.4566,
        0.5277, 0.7841, 0.9127], device='cuda:0')","tensor([[0.2597, 1.0000, 0.0598, 0.2770, 0.6656, 0.4354, 0.4022, 0.2265, 0.2792,
         0.6729, 0.7933, 0.8883]], device='cuda:0',
       grad_fn=<UnsqueezeBackward0>)"
"tensor([ 0.2321,  1.0000, -0.2155,  0.4485,  0.5160,  0.3985,  0.6359,  0.1546,
         0.3626,  0.6042,  0.7965,  0.8995], device='cuda:0')","tensor([[0.3130, 1.0000, 0.3445, 0.3923, 0.8365, 0.2719, 0.5751, 0.0650, 0.4065,
         0.6495, 0.8113, 0.8823]], device='cuda:0',
       grad_fn=<UnsqueezeBackward0>)"
"tensor([ 0.2638,  1.0000, -0.4328,  0.2538,  0.4829,  0.5917,  0.4978,  0.2622,
         0.3899,  0.5604,  0.7490,  0.8525], device='cuda:0')","tensor([[ 0.5043,  1.0000, -0.0194,  0.6421,  0.8070,  0.1824,  0.4814,  0.0636,
          0.4893,  0.6285,  0.7735,  0.8984]], device='cuda:0',
       grad_fn=<UnsqueezeBackward0>)"
"tensor([ 0.4758,  0.0014, -0.2383,  0.2214,  0.3606,  0.8037,  0.3962,  0.2406,
         0.1840,  0.5954,  0.7649,  0.8909], device='cuda:0')","tensor([[ 0.4790,  1.0000, -0.0990,  0.4985,  0.6705,  0.3755,  0.6110,  0.0906,
          0.5737,  0.7360,  0.8324,  0.9144]], device='cuda:0',
       grad_fn=<UnsqueezeBackward0>)"
"tensor([0.2914, 1.0000, 0.2630, 0.2326, 0.5403, 0.3983, 0.4801, 0.1902, 0.4248,
        0.8049, 0.8930, 0.9337], device='cuda:0')","tensor([[ 0.3903,  1.0000, -0.1804,  0.5571,  0.8095,  0.2490,  0.6723,  0.0620,
          0.5949,  0.6258,  0.7918,  0.8715]], device='cuda:0',
       grad_fn=<UnsqueezeBackward0>)"
"tensor([0.4843, 0.0016, 0.0485, 0.3357, 0.6051, 0.4286, 0.4869, 0.1714, 0.3046,
        0.6332, 0.7360, 0.8231], device='cuda:0')","tensor([[ 0.3397,  1.0000, -0.0285,  0.3782,  0.6785,  0.3871,  0.5250,  0.1428,
          0.5026,  0.7720,  0.8842,  0.9291]], device='cuda:0',
       grad_fn=<UnsqueezeBackward0>)"
"tensor([ 0.2774,  0.8846, -0.0701,  0.5080,  0.6810,  0.2724,  0.7641,  0.1033,
         0.4417,  0.6025,  0.6702,  0.9198], device='cuda:0')","tensor([[0.2989, 1.0000, 0.2971, 0.3984, 0.5528, 0.5189, 0.7161, 0.1116, 0.4044,
         0.6435, 0.8321, 0.8864]], device='cuda:0',
       grad_fn=<UnsqueezeBackward0>)"
"tensor([0.3090, 1.0000, 0.2979, 0.2427, 0.4842, 0.6244, 0.4734, 0.2569, 0.4227,
        0.5389, 0.7495, 0.8576], device='cuda:0')","tensor([[0.3203, 0.9993, 0.0984, 0.4317, 0.6934, 0.5281, 0.3854, 0.0826, 0.3347,
         0.9563, 0.9487, 0.9506]], device='cuda:0',
       grad_fn=<UnsqueezeBackward0>)"
"tensor([ 0.3765,  0.0014, -0.0394,  0.2144,  0.5204,  0.9028,  0.2687,  0.4535,
         0.1762,  0.5640,  0.7492,  0.8748], device='cuda:0')","tensor([[ 0.4335,  0.9980, -0.2479,  0.2012,  0.4863,  0.5442,  0.3923,  0.2809,
          0.2986,  0.7756,  0.8640,  0.9189]], device='cuda:0',
       grad_fn=<UnsqueezeBackward0>)"
"tensor([ 0.3612,  1.0000, -0.1955,  0.2922,  0.7359,  0.2674,  0.5636,  0.1759,
         0.7830,  0.6369,  0.8219,  0.9249], device='cuda:0')","tensor([[0.4289, 0.0021, 0.7510, 0.5369, 0.7654, 0.2695, 0.3202, 0.0504, 0.5042,
         0.5874, 0.7600, 0.8592]], device='cuda:0',
       grad_fn=<UnsqueezeBackward0>)"
"tensor([0.4526, 0.0016, 0.0923, 0.2075, 0.2917, 0.6293, 0.6401, 0.1694, 0.3131,
        0.6476, 0.8243, 0.9328], device='cuda:0')","tensor([[0.4508, 0.9986, 0.1522, 0.5622, 0.7800, 0.2990, 0.6965, 0.0612, 0.5596,
         0.6866, 0.8389, 0.8992]], device='cuda:0',
       grad_fn=<UnsqueezeBackward0>)"
"tensor([ 0.2681,  1.0000, -0.1389,  0.1780,  0.4921,  0.7158,  0.5080,  0.2599,
         0.4123,  0.5472,  0.7110,  0.8195], device='cuda:0')","tensor([[4.2312e+00, 1.5018e-03, 1.1102e-02, 1.2740e-01, 1.9176e-01, 1.2707e-01,
         6.4053e-01, 7.8521e-02, 2.7066e-01, 1.0394e+00, 9.7854e-01, 9.8419e-01]],
       device='cuda:0', grad_fn=<UnsqueezeBackward0>)"
"tensor([0.2110, 1.0000, 0.4201, 0.2548, 0.5491, 0.6238, 0.5463, 0.2336, 0.6148,
        0.5614, 0.7436, 0.8742], device='cuda:0')","tensor([[0.4113, 1.0000, 0.0782, 0.2214, 0.5141, 0.2886, 0.4194, 0.0877, 0.3816,
         0.6334, 0.8053, 0.8755]], device='cuda:0',
       grad_fn=<UnsqueezeBackward0>)"
"tensor([ 0.2494,  0.9999, -0.2288,  0.2265,  0.4705,  0.6571,  0.5098,  0.2353,
         0.4743,  0.5469,  0.7190,  0.8449], device='cuda:0')","tensor([[3.2638e-01, 9.9129e-01, 8.4104e-05, 2.8109e-01, 5.8486e-01, 4.1530e-01,
         4.5260e-01, 2.2305e-01, 4.3380e-01, 7.2101e-01, 8.3223e-01, 9.1521e-01]],
       device='cuda:0', grad_fn=<UnsqueezeBackward0>)"
"tensor([0.2552, 0.9999, 0.0624, 0.2437, 0.4651, 0.6858, 0.4697, 0.2646, 0.3383,
        0.5190, 0.6948, 0.8173], device='cuda:0')","tensor([[ 0.3035,  1.0000, -0.0476,  0.2366,  0.5275,  0.4110,  0.3441,  0.3077,
          0.2537,  0.6486,  0.7758,  0.8726]], device='cuda:0',
       grad_fn=<UnsqueezeBackward0>)"
"tensor([ 0.2023,  0.8921, -0.1141,  0.4627,  0.6921,  0.2277,  0.4290,  0.1317,
         0.5375,  0.8700,  0.7643,  0.8951], device='cuda:0')","tensor([[0.2730, 1.0000, 0.1909, 0.5541, 0.6972, 0.5315, 0.7279, 0.0787, 0.4104,
         0.7540, 0.7960, 0.8646]], device='cuda:0',
       grad_fn=<UnsqueezeBackward0>)"
"tensor([0.3834, 0.0014, 0.3764, 0.2103, 0.4567, 0.6680, 0.5305, 0.1646, 0.2247,
        0.6431, 0.7636, 0.8910], device='cuda:0')","tensor([[ 0.3610,  1.0000, -0.1359,  0.4975,  0.5728,  0.4693,  0.4904,  0.0953,
          0.4269,  0.6802,  0.8274,  0.8670]], device='cuda:0',
       grad_fn=<UnsqueezeBackward0>)"
"tensor([0.4405, 0.0014, 0.0442, 0.2457, 0.3627, 0.6223, 0.5757, 0.2214, 0.3540,
        0.6710, 0.8047, 0.8912], device='cuda:0')","tensor([[ 0.3750,  0.9994, -0.0947,  0.2669,  0.5150,  0.5665,  0.4127,  0.1400,
          0.4389,  0.9048,  0.9326,  0.9477]], device='cuda:0',
       grad_fn=<UnsqueezeBackward0>)"
"tensor([ 0.1572,  1.0000, -0.3619,  0.2629,  0.6198,  0.2336,  0.7103,  0.1243,
         0.9845,  0.7775,  0.9219,  0.9289], device='cuda:0')","tensor([[ 0.3342,  1.0000, -0.0584,  0.2487,  0.6622,  0.4274,  0.5034,  0.2397,
          0.5154,  0.6442,  0.7906,  0.8988]], device='cuda:0',
       grad_fn=<UnsqueezeBackward0>)"
"tensor([0.2520, 1.0000, 0.1361, 0.2501, 0.5563, 0.5354, 0.6791, 0.1488, 0.3976,
        0.7457, 0.8657, 0.9402], device='cuda:0')","tensor([[0.4026, 1.0000, 0.0334, 0.5106, 0.8157, 0.3126, 0.6660, 0.0814, 0.4865,
         0.6030, 0.7625, 0.8944]], device='cuda:0',
       grad_fn=<UnsqueezeBackward0>)"
"tensor([0.2184, 1.0000, 0.4934, 0.3630, 0.6439, 0.4640, 0.5267, 0.1680, 0.4124,
        0.6487, 0.7622, 0.8705], device='cuda:0')","tensor([[0.4575, 1.0000, 0.5225, 0.3842, 0.7359, 0.7675, 0.3535, 0.0911, 0.6574,
         0.8704, 0.9176, 0.9483]], device='cuda:0',
       grad_fn=<UnsqueezeBackward0>)"
"tensor([0.2348, 1.0000, 0.3770, 0.2563, 0.6100, 0.4986, 0.4776, 0.1408, 0.3229,
        0.5332, 0.6336, 0.8410], device='cuda:0')","tensor([[ 0.4316,  0.0125, -0.1059,  0.2336,  0.5287,  0.5616,  0.5253,  0.1755,
          0.3252,  0.7000,  0.8119,  0.9050]], device='cuda:0',
       grad_fn=<UnsqueezeBackward0>)"
"tensor([0.2408, 1.0000, 0.5249, 0.1780, 0.6240, 0.5113, 0.4725, 0.2124, 0.2748,
        0.6314, 0.7580, 0.8814], device='cuda:0')","tensor([[ 0.3585,  1.0000, -0.1156,  0.5197,  0.7754,  0.2563,  0.5135,  0.0860,
          0.5375,  0.6440,  0.7895,  0.8690]], device='cuda:0',
       grad_fn=<UnsqueezeBackward0>)"
"tensor([ 0.2167,  1.0000, -0.2052,  0.3246,  0.5915,  0.4061,  0.4602,  0.1480,
         0.5430,  0.5888,  0.7715,  0.8523], device='cuda:0')","tensor([[1.3829, 1.0000, 0.2111, 0.3862, 0.5466, 0.2139, 0.6789, 0.0826, 0.7264,
         0.7649, 0.7983, 0.9164]], device='cuda:0',
       grad_fn=<UnsqueezeBackward0>)"
